word,n
covid,9725
long,7332
corona,6708
deu,2247
pandemie,1724
coronavirus,1654
patienten,1488
infektion,1463
deutschland,1206
impfung,1184
kinder,1080
html,1004
symptome,885
lauterbach,877
studie,874
erkrankung,859
berlin,858
prozent,822
post,808
leiden,755
folgen,688
langzeitfolgen,642
news,600
inzidenz,557
tv.de,542
karl,540
zahl,512
millionen,505
wochen,503
betroffene,497
kindern,474
monate,469
dpa,467
virus,466
schulen,457
laut,455
syndrom,434
aktuell,433
infektionen,431
risiko,430
gesundheit,427
cov,421
fälle,421
spd,420
impfungen,412
politik,411
symptomen,408
gesundheitsminister,404
welle,391
neuinfektionen,390
omikron,389
zahlen,384
rki,373
impfen,369
variante,367
sars,365
maskenpflicht,363
nachrichten,357
impfpflicht,343
herbst,341
welt,341
lassen,340
woche,337
bayern,335
panorama,334
betroffenen,332
derzeit,330
spätfolgen,328
behandlung,327
beschwerden,326
leben,325
fast,323
deutlich,316
montag,312
geimpft,309
maßnahmen,308
experten,301
wien,296
impfstoff,293
zeigt,287
deutschen,285
lage,282
warnt,281
online,280
robert,280
betroffen,273
trotz,273
ticker,272
www.n,271
hamburg,270
personen,270
daten,266
mittwoch,263
zeitung,262
beginn,261
fordert,260
österreich,260
jugendliche,259
online.de,257
institut,255
märz,253
koch,252
krankheit,252
liegt,252
donnerstag,250
bundesgesundheitsminister,249
christian,246
finden,246
reha,246
schweiz,245
infektionszahlen,243
forschung,237
spricht,235
studien,233
spahn,232
erschöpfung,229
aktuellen,227
delta,227
thema,226
freitag,225
leidet,224
länder,222
land,219
bundesregierung,218
schweren,218
jugendlichen,217
schließen,217
berichtet,216
fragen,216
regeln,216
jährige,215
aktuelle,213
monaten,213
geimpfte,212
mecklenburg,212
niedersachsen,212
stiko,210
vorpommern,210
dienstag,209
erkrankungen,209
forscher,208
steigen,208
the,207
ots,206
liveticker,205
klinik,204
müdigkeit,203
ndr.de,203
usa,203
deutsche,202
angaben,201
drosten,201
lockdown,201
berliner,200
infiziert,199
biontech,198
hält,198
facebook,196
fuer,195
zufolge,194
ärzte,194
schwer,193
schwere,193
infizierten,189
schleswig,189
verlauf,189
chef,188
helfen,186
holstein,186
steigt,186
virologe,183
who,183
interview,182
tests,182
könnten,180
sieht,180
cfs,179
eltern,178
informiert,178
stark,178
cdu,177
live,177
stadt,177
euro,176
lockerungen,175
angesichts,174
april,174
bleiben,174
fallzahlen,173
frage,173
münchen,173
erklärt,172
geben,172
twitter,172
bund,170
jens,170
meisten,170
vorbei,170
letzten,168
regierung,168
folge,167
september,167
maske,166
fällen,165
kämpfen,164
anzeige,163
februar,163
zeigen,163
erkrankte,162
quelle,162
sommer,162
fatigue,161
präsident,161
gilt,158
mindestens,158
genesen,157
gesellschaft,157
krise,155
sonntag,155
anfang,153
gesund,153
informationen,153
mai,153
mehrere,153
weiterhin,153
zudem,153
bleibt,152
blog,152
bild,151
inzwischen,151
januar,151
politiker,151
lässt,150
schutz,150
impfkommission,149
landkreis,147
sogenannten,147
bislang,146
blick,146
erkrankt,146
oktober,145
masken,144
sogar,144
astrazeneca,143
länger,142
mediziner,142
weltweit,142
empfehlung,141
fall,141
behandelt,140
hilfe,140
juni,140
baden,139
insgesamt,139
kampf,139
therapie,139
allgemeine,138
meldet,137
situation,137
ländern,136
aufgrund,135
mittlerweile,135
ungeimpfte,135
erneut,133
patientinnen,132
universität,132
gesundheitsexperte,131
pro,131
winter,131
junge,130
körper,130
mail,130
zusammenhang,130
erhalten,129
häufig,129
newsblog,129
test,128
sehen,127
frauen,126
pfizer,126
update,126
halten,125
kritik,125
versorgung,125
august,124
angst,123
bad,123
kommenden,123
stand,123
vac,123
auswirkungen,122
diagnose,122
offenbar,122
stehen,122
arzt,121
erkranken,121
gefahr,121
infizierte,121
mitte,121
problem,121
quarantäne,120
hohen,119
instituts,119
patient,119
stellt,119
europa,118
fordern,118
rechnet,118
region,118
wert,118
jahres,117
vollständig,117
wichtigsten,117
ambulanz,116
einfach,116
erkrankten,116
genau,116
positiv,116
impfkampagne,115
probleme,115
rundfunk,115
bevölkerung,114
kliniken,114
knapp,114
kreis,114
schnell,114
sorgen,114
todesfälle,114
demnach,113
wissenschaft,113
and,111
nimmt,111
schüler,111
michael,110
neu,110
erstmals,109
sachsen,109
artikel,108
atemnot,108
grund,108
hoffnung,108
infizieren,108
anstieg,107
jährigen,107
klagen,107
neuer,107
bag,106
berichten,106
bundestag,106
dennoch,106
erkenntnisse,106
gruppe,106
grünen,106
impfstoffe,106
themen,106
wichtig,106
heißt,105
nehmen,105
gemeldet,104
inzidenzen,104
verläufe,104
ziel,104
genesene,103
kritisiert,103
künftig,103
schützen,103
wiener,103
bekommen,102
tragen,102
frommhold,101
markus,101
podcast,101
entwickeln,100
gelten,100
hohe,100
kommentare,100
neues,100
wissenschaftler,100
alltag,99
findet,99
gestiegen,99
hannover,99
samstag,99
thomas,99
erwartet,98
regel,98
zeitung.de,98
zulassung,98
debatte,97
lesen,97
massnahmen,97
nationalen,97
scheint,97
auftreten,96
grüne,96
mögliche,96
obwohl,96
steigenden,96
tages,96
entscheidung,95
geimpften,95
impf,95
jungen,95
klar,95
nrw,95
sorge,95
beschäftigt,94
frau,94
kopfschmerzen,94
sport,94
symptom,94
unternehmen,94
fest,93
großbritannien,93
medizin,93
prof,93
treffen,93
wochenende,93
heute.at,92
icon,92
medizinische,92
sagen,92
ständige,92
eigentlich,91
einwohner,91
bundesrat,90
experte,90
israel,90
tausende,90
zahlreiche,90
entwickelt,89
getestet,89
news.de,89
setzt,89
team,89
überstanden,89
bietet,88
dezember,88
ergebnisse,88
foto,88
krank,88
krankenhaus,88
presse,88
frühjahr,87
nächsten,87
sprechen,86
startet,86
württemberg,86
einschränkungen,85
impfquote,85
innerhalb,85
medikament,85
selbsthilfegruppe,85
warnen,85
alter,84
bericht,84
erwarten,84
fokus,84
gebe,84
gesundheitsministerium,84
lag,84
medizinischen,84
selten,84
stellen,84
video,84
zuvor,84
november,83
pcr,83
trifft,83
zuletzt,83
akuten,82
eher,82
entwicklung,82
frankfurt,82
booster,81
chronische,81
möglichen,81
nebenwirkungen,81
paar,81
fdp,80
sogenannte,80
weiß,80
braucht,79
bundesländern,79
ema,79
internationalen,79
juli,79
sicher,79
untersucht,79
zumindest,79
einschätzung,78
erlangen,78
führen,78
kölner,78
veröffentlicht,78
wichtige,78
bedeutet,77
binnen,77
csu,77
fallen,77
hoc,77
jördis,77
schule,77
teilte,77
vortag,77
allgemeine.de,76
diskussion,76
erwachsenen,76
expertin,76
hilft,76
insbesondere,76
schweizer,76
schützt,76
sicht,76
ungeimpften,76
vakzin,76
ansteckungen,75
arbeit,75
info,75
intensivstationen,75
klaus,75
klinikum,75
leipzig,75
treten,75
zukunft,75
andreas,74
brandenburg,74
bringen,74
bringt,74
bundesländer,74
durchseuchung,74
focus,74
laufenden,74
registriert,74
rehabilitation,74
sinkt,74
steigender,74
weltgesundheitsorganisation,74
anhaltende,73
ergebnis,73
häufiger,73
liegen,73
martin,73
polizei,73
sinnvoll,73
antworten,72
empfiehlt,72
führt,72
rahmen,72
uni,72
virologen,72
www.ndr.de,72
überblick,72
angebot,71
behörden,71
erschöpft,71
fällt,71
johnson,71
könne,71
melden,71
professor,71
vergleich,71
chefarzt,70
erreicht,70
health,70
hinzu,70
norddeutscher,70
peter,70
strategie,70
therapien,70
überstandenen,70
ansteckung,69
bezeichnet,69
krankheitsbild,69
leiter,69
stunden,69
ständigen,69
ard,68
beschränkungen,68
bürger,68
dürfte,68
gestern,68
medien,68
sendung,68
sorgt,68
teilt,68
ursachen,68
bundes,67
essen,67
herz,67
patientin,67
schnitt,67
umfrage,67
arbeiten,66
holetschek,66
phänomen,66
rolle,66
tatsächlich,66
anzeiger,65
brauchen,65
hirschhausen,65
kraft,65
laufen,65
nordrhein,65
sommerferien,65
uniklinik,65
app,64
aussage,64
feedback,64
fühlen,64
liste,64
merkel,64
pressekonferenz,64
psychische,64
sowohl,64
anhaltenden,63
beitrag,63
england,63
herr,63
jüngere,63
ministerpräsident,63
rheinland,63
spö,63
täglich,63
ueber,63
vorsicht,63
art,62
augsburger,62
bayerns,62
bundesweite,62
gehört,62
gemeldeten,62
gespräch,62
neurologische,62
normalität,62
rechnen,62
testen,62
varianten,62
zunahme,62
frank,61
innen,61
spiegel,61
standard,61
belastung,60
direktor,60
erkennen,60
for,60
gefordert,60
gesundheitliche,60
meist,60
scholz,60
setzen,60
start,60
unserem,60
wenigen,60
afx,59
all,59
beschlossen,59
erfahrungen,59
erklärte,59
europäische,59
grippe,59
images,59
kommentar,59
müsse,59
starke,59
umgang,59
wirtschaft,59
zugelassen,59
ärzten,59
anteil,58
autor,58
bevor,58
erwachsene,58
frankreich,58
genesung,58
hervor,58
höher,58
mainz,58
merkur.de,58
milden,58
minuten,58
nächste,58
ots.at,58
sprach,58
teilweise,58
ukraine,58
ärztin,58
öffentlichen,58
alliance,57
begriff,57
charité,57
diabetes,57
erforschung,57
frankfurter,57
geschützt,57
heiligendamm,57
langsam,57
lockdowns,57
pfalz,57
pflicht,57
phase,57
union,57
verläufen,57
zunehmend,57
diskutiert,56
dosen,56
freiburg,56
kämpft,56
lokales,56
längst,56
mitarbeiter,56
risiken,56
wolfgang,56
zdf,56
ausbruch,55
berichtete,55
gesundheitlichen,55
gesundheitsamt,55
kultur,55
kurzatmigkeit,55
meldungen,55
million,55
schäden,55
vorsitzende,55
weitgehend,55
altersgruppe,54
antikörper,54
arbeitgeber,54
berufskrankheit,54
britische,54
imago,54
immunsystem,54
impfdosen,54
innenräumen,54
isolation,54
letzte,54
mehrheit,54
monat,54
möglicherweise,54
notbremse,54
schmerzen,54
web.de,54
öffnen,54
ausgesprochen,53
china,53
icontwitter,53
iconwhatsapp,53
kind,53
moderna,53
mückstein,53
picture,53
schätzungen,53
seite,53
söder,53
ansicht,52
arzneimittelbehörde,52
gemeinsam,52
gründe,52
impfstoffs,52
kamen,52
landtag,52
story,52
streit,52
supermarkt,52
westfalen,52
beginnt,51
bekommt,51
bundesweit,51
chronischen,51
deutliche,51
dramatisch,51
einrichtungen,51
forschende,51
gehirn,51
husten,51
ischgl,51
meinung,51
programm,51
ratgeber,51
seltener,51
stuttgart,51
ursache,51
verändert,51
wahrscheinlich,51
aussagen,50
berichte,50
druck,50
fachleute,50
fans,50
gekommen,50
impfnebenwirkungen,50
kopf,50
lunge,50
minister,50
netzwerk,50
nötig,50
per,50
plus,50
positiven,50
rückkehr,50
schritt,50
schwerer,50
swr,50
ambulanzen,49
bereich,49
bessere,49
form,49
gegeben,49
gehören,49
gesundheitssystem,49
hamilton,49
impfstatus,49
jüngsten,49
kurier,49
landesregierung,49
nutzen,49
plant,49
projekt,49
schutzmaßnahmen,49
sofort,49
österreichischen,49
anlaufstellen,48
auffrischungsimpfung,48
begonnen,48
bestehen,48
geld,48
genannt,48
gleichzeitig,48
herdenimmunität,48
höchste,48
jena,48
kurier.at,48
luft,48
läuft,48
marburg,48
spielen,48
starten,48
stern.de,48
teilen,48
tirol,48
toten,48
untersuchung,48
virologin,48
vorarlberg,48
ausbreitung,47
bremen,47
deutschlands,47
häufigsten,47
johannes,47
konzentrationsstörungen,47
krankheiten,47
körperliche,47
leider,47
mitteilte,47
plötzlich,47
praxis,47
rostock,47
vorjahr,47
wahrscheinlichkeit,47
anzeichen,46
bekämpfung,46
coronainfektion,46
droht,46
fehler,46
hinaus,46
impfschäden,46
kosten,46
köln,46
laschet,46
magazine,46
möglichst,46
rosenheim,46
tod,46
unterschätzt,46
unterstützt,46
verabreicht,46
vorerkrankungen,46
weisen,46
wieler,46
aufgehoben,45
beschäftigen,45
bitte,45
britischen,45
chefärztin,45
entdeckt,45
europäischen,45
focus.de,45
früh,45
gestorben,45
hinweise,45
idw,45
infektionsschutzgesetz,45
kassel,45
massiv,45
ruft,45
that,45
unterricht,45
verfügung,45
verhindern,45
weist,45
wirkt,45
wort,45
www.focus.de,45
zeiten,45
bestätigt,44
betrifft,44
breisgau,44
bürgermeister,44
erreichen,44
erzählt,44
gefährlich,44
gesundheitspolitiker,44
gesundheitsämter,44
gruppen,44
hochschwarzwald,44
kampagne,44
leitlinie,44
leute,44
licht,44
london,44
manchmal,44
medikamente,44
orf,44
pläne,44
schaffen,44
schlägt,44
spital,44
staaten,44
sterben,44
unterstützen,44
vorwoche,44
zieht,44
zählen,44
ausreichend,43
bzw,43
depressionen,43
epidemiologe,43
erforscht,43
erleben,43
hervorgeht,43
intensivstation,43
jüngeren,43
karliczek,43
kreiszeitung.de,43
monatelang,43
männer,43
nachricht,43
niveau,43
not,43
nürnberg,43
offiziell,43
ostern,43
plan,43
reagiert,43
schülerinnen,43
steigende,43
unklar,43
with,43
world,43
ältere,43
alte,42
antwort,42
aufmerksamkeit,42
besuch,42
betont,42
blut,42
ebenfalls,42
erklären,42
familie,42
fußball,42
italien,42
kitas,42
krankenhäusern,42
langfristige,42
langfristigen,42
lanz,42
meldete,42
mutter,42
positive,42
reduziert,42
regelung,42
relativ,42
restaurants,42
sebastian,42
sinken,42
syndroms,42
unterstützung,42
warten,42
zürich,42
beispielsweise,41
betonte,41
datenlage,41
dresden,41
einsatz,41
freiheit,41
guten,41
impfstoffen,41
impfzentren,41
infektionsgeschehen,41
klare,41
kommission,41
maischberger,41
mdr,41
müde,41
nachfrage,41
psychischen,41
stärker,41
verursacht,41
wissenschaftlichen,41
